Date,Open,High,Low,Close,Volume
2020-01-02,115.50,116.05,114.77,115.51,236140
2020-01-03,115.60,116.62,114.77,116.45,540910
2020-01-06,116.03,116.12,114.77,115.91,297890
2020-01-07,116.45,116.80,115.02,115.34,880660
2020-01-08,116.07,116.11,114.10,114.81,731780
2020-01-09,115.14,115.29,113.66,114.23,847860
2020-01-10,114.10,114.68,113.60,113.76,627670
2020-01-13,113.69,114.49,113.69,114.07,535680
2020-01-14,113.90,114.34,113.17,114.26,742560
2020-01-15,114.01,114.72,113.36,113.62,501010
2020-01-16,113.92,115.51,113.86,114.88,741830
2020-01-17,115.20,116.20,114.72,115.98,1320000
2020-01-20,115.44,117.04,115.12,116.71,69510
2020-01-21,115.66,117.44,115.62,116.27,447360
2020-01-22,116.28,119.92,116.28,119.59,793750
2020-01-23,118.78,120.00,117.40,117.76,1920000
2020-01-24,118.21,119.15,117.78,118.16,263940
2020-01-27,117.17,117.27,114.81,115.09,290920
2020-01-28,115.43,115.79,114.76,115.60,731510
2020-01-29,115.93,116.39,113.98,115.76,664170
2020-01-30,115.76,116.09,114.51,115.78,684410
2020-01-31,115.89,116.25,114.08,114.94,866690
2020-02-04,115.22,118.18,115.22,117.47,675230
2020-02-05,117.77,119.13,117.77,118.02,734770
2020-02-06,118.09,119.91,118.06,119.03,553900
2020-02-07,119.15,120.85,118.30,120.28,343560
2020-02-10,120.38,121.03,120.00,120.17,2280000
2020-02-11,120.15,121.66,119.89,120.94,415610
2020-02-12,120.50,122.00,119.69,119.96,1770000
2020-02-13,119.89,119.98,118.15,119.13,813210
2020-02-14,119.50,119.80,118.80,119.65,255200
2020-02-17,119.50,119.50,118.41,118.43,71640
2020-02-18,119.53,120.50,119.37,119.51,1330000
2020-02-19,120.00,120.55,119.15,119.27,622550
2020-02-20,120.03,120.03,117.19,117.34,547330
2020-02-21,117.90,121.53,117.35,121.02,773690
2020-02-24,120.74,120.74,117.39,118.17,657800
2020-02-25,118.46,118.91,116.99,117.30,628590
2020-02-26,117.96,117.96,115.82,116.36,1080000
2020-02-27,116.99,116.99,112.21,112.67,823460
