ticker,name,mode,n_days,first_date,last_date,gaps,apto_modelo,fast_score,grade,vol_annual,autocorr5,trend_r2,error
SAN.MC,Santander,ibex35,1609,2020-01-02,2026-04-16,0,True,35,~,0.36489654305190566,0.056586791049104586,0.8090494938759317,
BBVA.MC,BBVA,ibex35,1609,2020-01-02,2026-04-16,0,True,30,~,0.37151701982066826,0.053600971575645924,0.9219919210646506,
ITX.MC,Inditex,ibex35,1609,2020-01-02,2026-04-16,0,True,43,~,0.2814558608013419,0.0229222556431941,0.7881545259370832,
TEF.MC,Telefónica,ibex35,1609,2020-01-02,2026-04-16,0,True,55,✓,0.2786576124881406,0.04828145799452308,0.5623083445700403,
IBE.MC,Iberdrola,ibex35,1609,2020-01-02,2026-04-16,0,True,66,✓,0.21537611191449446,-0.03688287293243897,0.8146605878236388,
REP.MC,Repsol,ibex35,1609,2020-01-02,2026-04-16,0,True,35,~,0.34184358677042237,0.13620118357021216,0.7204156992078214,
AMS.MC,Amadeus IT,ibex35,1609,2020-01-02,2026-04-16,0,True,68,✓,0.3384812648364734,-0.03960942829996876,0.34803940322894433,
CLNX.MC,Cellnex,ibex35,1609,2020-01-02,2026-04-16,0,True,50,✓,0.3056983983127042,0.006878389131574173,0.6175922233896172,
FER.MC,Ferrovial,ibex35,1609,2020-01-02,2026-04-16,0,True,51,✓,0.25874342644992193,-0.008389859123770526,0.8617146673423021,
ACS.MC,ACS,ibex35,1609,2020-01-02,2026-04-16,0,True,30,~,0.3364456680910067,0.01471549051787332,0.8690526192254519,
ELE.MC,Endesa,ibex35,1609,2020-01-02,2026-04-16,0,True,63,✓,0.23498221613396628,-0.025963021810113413,0.5658625998613124,
NTGY.MC,Naturgy,ibex35,1609,2020-01-02,2026-04-16,0,True,63,✓,0.2629186833992633,0.004978815198941948,0.6994532955968882,
ENG.MC,Enagás,ibex35,1609,2020-01-02,2026-04-16,0,True,71,✓✓,0.22556598093470648,0.006167504862599768,0.0012830649430284335,
MAP.MC,Mapfre,ibex35,1609,2020-01-02,2026-04-16,0,True,48,~,0.2687319598802721,0.1295741640474735,0.8441669751730648,
CIE.MC,CIE Automotive,ibex35,1609,2020-01-02,2026-04-16,0,True,50,✓,0.3110456478222802,0.011465545830743929,0.6681794042859346,
VIS.MC,Viscofan,ibex35,1609,2020-01-02,2026-04-16,0,True,63,✓,0.2060894638315714,0.013884178792216931,0.6689360826583316,
ACX.MC,Acerinox,ibex35,1609,2020-01-02,2026-04-16,0,True,50,✓,0.31431050472508626,0.0026300663857163693,0.6734885215115143,
MRL.MC,Merlin Properties,ibex35,1609,2020-01-02,2026-04-16,0,True,35,~,0.3029416746832687,0.05682030685371087,0.7301133579544586,
LOG.MC,Logista,ibex35,1609,2020-01-02,2026-04-16,0,True,43,~,0.19994492230108016,0.051978762920578805,0.9536345000790776,
CABK.MC,CaixaBank,ibex35,1609,2020-01-02,2026-04-16,0,True,30,~,0.34514327573684017,0.0449038354655761,0.9348215499771836,
