Ticker,Score,Grado,Vol. anual,Autocorr 5d,Tendencia R²,Sil. avg,Rev. score,WR +10d,Sharpe est.,Sharpe B&H,Días,Error
KMB,71,✓✓,22.4%,-0.017,0.35,—,—,—,—,—,2185,
CPB,71,✓✓,26.6%,-0.016,0.01,—,—,—,—,—,2185,
GIS,71,✓✓,23.4%,+0.015,0.20,—,—,—,—,—,2185,
SJM,71,✓✓,25.5%,-0.006,0.32,—,—,—,—,—,2185,
CAG,71,✓✓,27.8%,-0.002,0.11,—,—,—,—,—,2185,
PFE,71,✓✓,25.1%,+0.010,0.01,—,—,—,—,—,2185,
BDX,71,✓✓,25.0%,+0.001,0.00,—,—,—,—,—,2185,
CCI,71,✓✓,27.5%,+0.018,0.01,—,—,—,—,—,2185,
AMT,71,✓✓,27.6%,+0.015,0.17,—,—,—,—,—,2185,
HSY,63,✓ ,24.0%,+0.023,0.65,—,—,—,—,—,2185,
MKC,63,✓ ,25.5%,+0.079,0.02,—,—,—,—,—,2185,
MO,63,✓ ,24.4%,-0.001,0.66,—,—,—,—,—,2185,
D,63,✓ ,24.9%,+0.065,0.00,—,—,—,—,—,2185,
ES,63,✓ ,25.7%,+0.040,0.11,—,—,—,—,—,2185,
ABT,63,✓ ,25.0%,-0.001,0.64,—,—,—,—,—,2185,
BMY,63,✓ ,25.1%,+0.031,0.20,—,—,—,—,—,2185,
MDT,63,✓ ,24.4%,+0.048,0.04,—,—,—,—,—,2185,
MAA,63,✓ ,25.2%,-0.011,0.51,—,—,—,—,—,2185,
TLT,63,✓ ,15.3%,+0.050,0.34,—,—,—,—,—,2185,
CSCO,63,✓ ,27.7%,-0.015,0.66,—,—,—,—,—,2185,
SPG,60,✓ ,39.3%,-0.049,0.35,—,—,—,—,—,2185,
KO,58,✓ ,24.1%,-0.028,0.85,—,—,—,—,—,1302,
AES,58,✓ ,37.6%,+0.016,0.06,—,—,—,—,—,2185,
ZTS,58,✓ ,29.1%,+0.016,0.18,—,—,—,—,—,2185,
ELV,58,✓ ,32.7%,+0.029,0.50,—,—,—,—,—,2185,
MMM,58,✓ ,28.1%,+0.014,0.01,—,—,—,—,—,2185,
INTC,58,✓ ,48.4%,+0.024,0.05,—,—,—,—,—,2185,
CL,56,✓ ,20.5%,+0.011,0.81,—,—,—,—,—,2185,
PG,56,✓ ,20.0%,+0.007,0.80,—,—,—,—,—,2185,
PM,56,✓ ,26.0%,+0.017,0.84,—,—,—,—,—,2185,
AEP,56,✓ ,22.0%,+0.012,0.80,—,—,—,—,—,2185,
JNJ,56,✓ ,19.7%,+0.005,0.76,—,—,—,—,—,2185,
MRK,56,✓ ,24.1%,+0.006,0.77,—,—,—,—,—,2185,
GLD,56,✓ ,17.1%,-0.016,0.83,—,—,—,—,—,2185,
PEP,55,✓ ,20.9%,+0.050,0.68,—,—,—,—,—,2185,
NEE,55,✓ ,26.8%,+0.078,0.67,—,—,—,—,—,2185,
BTI,55,✓ ,25.1%,+0.033,0.53,—,—,—,—,—,2185,
O,55,✓ ,27.1%,+0.031,0.49,—,—,—,—,—,2185,
WPC,55,✓ ,27.2%,+0.073,0.47,—,—,—,—,—,2185,
IWM,55,✓ ,24.3%,+0.050,0.69,—,—,—,—,—,2185,
IEF,54,✓ ,6.9%,+0.022,0.00,—,—,—,—,—,2185,
AFL,53,✓ ,27.2%,-0.065,0.88,—,—,—,—,—,2185,
ABBV,51,✓ ,27.0%,+0.018,0.92,—,—,—,—,—,2185,
AMGN,51,✓ ,25.8%,+0.012,0.91,—,—,—,—,—,2185,
BRK-B,51,✓ ,20.4%,+0.019,0.92,—,—,—,—,—,2185,
V,51,✓ ,25.7%,+0.015,0.92,—,—,—,—,—,2185,
PGR,51,✓ ,26.3%,-0.020,0.95,—,—,—,—,—,2185,
QQQ,51,✓ ,23.8%,+0.021,0.92,—,—,—,—,—,2185,
FAST,51,✓ ,27.2%,+0.027,0.95,—,—,—,—,—,2185,
NNN,50,✓ ,29.7%,+0.018,0.42,—,—,—,—,—,2185,
COLD,50,✓ ,32.2%,+0.056,0.14,—,—,—,—,—,2173,
WFC,50,✓ ,33.9%,+0.058,0.46,—,—,—,—,—,2185,
USB,50,✓ ,32.1%,+0.046,0.16,—,—,—,—,—,2185,
META,50,✓ ,41.9%,+0.006,0.66,—,—,—,—,—,2185,
ACN,50,✓ ,29.9%,+0.031,0.39,—,—,—,—,—,2185,
BTC-USD,50,✓ ,52.3%,-0.003,0.63,—,—,—,—,—,2192,
XEL,48,~ ,22.8%,+0.031,0.70,—,—,—,—,—,2185,
WEC,48,~ ,22.7%,-0.000,0.75,—,—,—,—,—,2185,
PPL,48,~ ,23.9%,-0.005,0.71,—,—,—,—,—,2185,
HON,48,~ ,25.3%,+0.032,0.77,—,—,—,—,—,2185,
FE,47,~ ,25.9%,+0.084,0.63,—,—,—,—,—,2185,
VNQ,47,~ ,21.9%,+0.056,0.63,—,—,—,—,—,2185,
TSLA,46,~ ,66.4%,-0.024,0.39,—,—,—,—,—,1508,
SHOP,46,~ ,61.4%,+0.022,0.50,—,—,—,—,—,2185,
COIN,46,~ ,84.1%,-0.009,0.09,—,—,—,—,—,1360,
PEG,43,~ ,22.8%,+0.064,0.87,—,—,—,—,—,2185,
CI,43,~ ,32.3%,+0.001,0.77,—,—,—,—,—,2185,
