Date,Open,High,Low,Close,Volume
2020-01-02,28.3,28.71,28.11,28.68,143375718
2020-01-03,29.37,30.27,29.13,29.53,266920367
2020-01-06,29.36,30.1,29.33,30.1,152362424
2020-01-07,30.76,31.44,30.22,31.27,273136963
2020-01-08,31.58,33.23,31.22,32.81,467990616
2020-01-09,33.14,33.25,31.52,32.09,426947637
2020-01-10,32.12,32.33,31.58,31.88,194652353
2020-01-13,32.9,35.04,32.8,34.99,399518050
2020-01-14,36.28,36.49,34.99,35.86,435920482
2020-01-15,35.32,35.86,34.45,34.57,260532320
2020-01-16,32.92,34.3,32.81,34.23,326049587
2020-01-17,33.84,34.38,33.54,34.03,204435948
2020-01-21,35.35,36.57,35.23,36.48,267051916
2020-01-22,38.13,39.63,37.27,37.97,470535215
2020-01-23,37.62,38.8,37.04,38.15,294765453
2020-01-24,38.04,38.26,36.95,37.65,215303892
2020-01-27,36.13,37.63,35.95,37.2,204120948
2020-01-28,37.9,38.45,37.21,37.79,176827262
2020-01-29,38.38,39.32,37.83,38.73,273249913
2020-01-30,42.16,43.39,41.2,42.72,435084982
2020-01-31,42.67,43.53,42.17,43.37,235788932
2020-02-03,44.91,52.41,44.9,52.0,708502146
2020-02-04,58.86,64.6,55.59,59.14,914080943
2020-02-05,54.88,56.4,46.94,48.98,726357237
2020-02-06,46.66,53.06,45.8,49.93,598210951
2020-02-07,48.7,51.32,48.67,49.87,255952672
2020-02-10,53.33,54.67,50.16,51.42,370337215
2020-02-11,51.25,52.23,50.53,51.63,175461962
2020-02-12,51.86,52.65,50.89,51.15,180336960
2020-02-13,49.46,54.53,49.0,53.6,394340053
2020-02-14,52.48,54.2,52.37,53.34,235405532
2020-02-18,56.11,57.33,55.49,57.23,250475425
2020-02-19,61.57,62.99,60.07,61.16,381344209
2020-02-20,60.8,60.8,57.33,59.96,264523218
2020-02-21,60.47,60.87,58.7,60.07,215091642
2020-02-24,55.93,57.57,54.81,55.59,227882286
2020-02-25,56.6,57.11,52.47,53.33,259357070
2020-02-26,52.17,54.22,51.74,51.92,212307494
2020-02-27,48.67,49.32,44.6,45.27,364157218
2020-02-28,41.98,46.03,40.77,44.53,368462366
2020-03-02,47.42,49.58,45.78,49.57,302924699
2020-03-03,53.67,53.8,47.74,49.7,386759807
2020-03-04,50.93,51.1,48.32,49.97,225734587
2020-03-05,48.25,49.72,47.87,48.3,162789819
2020-03-06,46.0,47.13,45.62,46.9,189943705
2020-03-09,40.36,44.2,40.33,40.53,256105972
2020-03-10,43.96,44.53,40.53,43.02,233916483
2020-03-11,42.68,43.57,40.87,42.28,201203749
2020-03-12,38.73,39.63,36.42,37.37,283635608
2020-03-13,39.67,40.5,33.47,36.44,339603580
2020-03-16,31.3,32.99,29.48,29.67,307341746
2020-03-17,29.33,31.46,26.4,28.68,359918520
2020-03-18,25.93,26.99,23.37,24.08,356792222
2020-03-19,24.98,30.13,23.9,28.51,452931674
2020-03-20,29.21,31.8,28.39,28.5,424282288
2020-03-23,28.91,29.47,27.37,28.95,246818127
2020-03-24,31.82,34.25,31.6,33.67,343427378
2020-03-25,36.35,37.13,34.07,35.95,318341091
2020-03-26,36.49,37.33,34.15,35.21,261331069
2020-03-27,33.67,35.05,32.94,34.29,215661042
2020-03-30,34.02,34.44,32.75,33.48,179970960
2020-03-31,33.42,36.2,33.13,34.93,266572217
2020-04-01,33.6,34.26,31.67,32.1,200297600
2020-04-02,32.07,32.95,29.76,30.3,297876301
2020-04-03,33.97,34.37,31.23,32.0,338431031
2020-04-06,34.08,34.73,33.2,34.42,223527488
2020-04-07,36.33,37.67,35.49,36.36,268796566
2020-04-08,36.95,37.15,35.56,36.59,189840205
2020-04-09,37.47,38.35,37.14,38.2,204749898
2020-04-13,39.34,43.47,38.7,43.4,337131131
2020-04-14,46.6,49.46,46.16,47.33,458647421
2020-04-15,49.47,50.21,47.33,48.66,353654823
2020-04-16,47.8,50.63,47.11,49.68,309867745
2020-04-17,51.49,51.66,49.84,50.26,196923352
2020-04-20,48.85,51.04,47.48,49.76,221195439
2020-04-21,48.67,50.22,44.92,45.78,303136198
2020-04-22,46.93,48.93,45.91,48.81,213372343
2020-04-23,48.51,48.93,46.88,47.04,198550401
2020-04-24,47.39,48.72,46.55,48.34,198564051
2020-04-27,49.17,53.3,49.0,53.25,310221445
2020-04-28,53.04,53.67,50.45,51.27,228329286
2020-04-29,52.68,53.55,52.21,53.37,243239578
2020-04-30,57.01,57.99,50.9,52.13,427077536
2020-05-01,50.33,51.52,45.54,46.75,487976906
2020-05-04,46.73,50.8,46.53,50.75,288556206
2020-05-05,52.65,53.26,50.81,51.21,254874773
2020-05-06,51.77,52.65,50.74,52.17,166848367
2020-05-07,51.81,53.09,51.49,52.0,172915264
2020-05-08,52.92,54.93,52.47,54.63,241951229
2020-05-11,52.7,54.93,52.33,54.09,247793876
